page_id,name,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,dc/marvel
381852,Noose (New Earth),,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,3.0,,,dc
243047,Blade Benson (Earth-616),No Dual Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1.0,Sep-62,1962.0,marvel
240804,Peredur (New Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,2.0,"2005, May",2005.0,dc
31362,Marrina's mate (Earth-616),Secret Identity,Bad Characters,Black Eyes,No Hair,Male Characters,,Deceased Characters,,Sep-84,1984.0,marvel
12127,Laslo Magzel (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,3.0,Mar-95,1995.0,marvel
632576,Christina Valentino (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Deceased Characters,4.0,Feb-93,1993.0,marvel
18402,Adria (Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,6.0,Feb-66,1966.0,marvel
43100,Zkrodd (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,,Aug-90,1990.0,marvel
2735,Karl Stragg (Earth-616),,,,Black Hair,Male Characters,,Deceased Characters,2.0,Apr-66,1966.0,marvel
1505,Elektra Natchios (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,280.0,Jan-81,1981.0,marvel
410519,Brok (Asgardian) (Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,1.0,Sep-66,1966.0,marvel
114617,Doctor Canus (New Earth),,Good Characters,,White Hair,Male Characters,,Living Characters,7.0,"1998, April",1998.0,dc
74663,Cooper Roth (Earth-616),Public Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,3.0,Oct-07,2007.0,marvel
245691,Hell-Driver (Earth-616),Secret Identity,,Red Eyes,No Hair,Male Characters,,Living Characters,2.0,May-09,2009.0,marvel
207302,Lawrence Varvel (New Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,,"1996, November",1996.0,dc
182789,Barnard Blaine (New Earth),Secret Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,3.0,"2005, November",2005.0,dc
246272,David Pike (Earth-616),,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,,Dec-89,1989.0,marvel
16735,Tremolo (Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,3.0,Jul-92,1992.0,marvel
406376,Trista (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,Dec-88,1988.0,marvel
442715,Styro (Earth-616),No Dual Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,3.0,Apr-93,1993.0,marvel
552887,Boar (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1.0,Aug-05,2005.0,marvel
240532,Hyve (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2.0,"2002, September",2002.0,dc
65389,Burt Horowitz (Earth-616),Secret Identity,,,Bald,Male Characters,,Deceased Characters,12.0,Jul-88,1988.0,marvel
296697,Silica (New Earth),Public Identity,Neutral Characters,White Eyes,Pink Hair,Female Characters,,Deceased Characters,12.0,"2006, December",2006.0,dc
138388,Henry Bucher (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,21.0,"2004, May",2004.0,dc
239980,Matthew Masters (Earth-616),Secret Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,95.0,Dec-48,1948.0,marvel
260402,Wolf Krieger (New Earth),Public Identity,Bad Characters,Black Eyes,Grey Hair,Male Characters,,Living Characters,5.0,"1995, July",1995.0,dc
16439,Freakshow (Genoshan) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,13.0,Jul-04,2004.0,marvel
557395,Ayna Sareva (Earth-616),,Good Characters,,Blond Hair,Female Characters,,Living Characters,10.0,Jun-05,2005.0,marvel
298438,Ivan (Earth-616),,,,,Male Characters,,Living Characters,2.0,Nov-67,1967.0,marvel
251475,Audumla (Magic cow) (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,2.0,Oct-63,1963.0,marvel
16102,Ilya Trepliov (New Earth),,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,9.0,"1988, April",1988.0,dc
303696,Rasa Nekroy (New Earth),,Good Characters,,,,,Living Characters,2.0,1986,1986.0,dc
2547,Jerold Morgan (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,25.0,Apr-58,1958.0,marvel
701584,Hitman (Hobgoblin) (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,3.0,Jan-13,2013.0,marvel
293385,Vision (Skrull) (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Deceased Characters,6.0,Jun-08,2008.0,marvel
19282,Bermuda Schwartz (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,3.0,Dec-89,1989.0,marvel
18112,Mantis (New Earth),Secret Identity,Bad Characters,Orange Eyes,,Male Characters,,Deceased Characters,30.0,"1971, May",1971.0,dc
521372,James Ilse (Earth-616),Public Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,4.0,Sep-46,1946.0,marvel
280048,Jane Smythe (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1.0,Feb-02,2002.0,marvel
2663,Ikonn (Earth-616),Secret Identity,Neutral Characters,,No Hair,Male Characters,,Living Characters,6.0,Jun-81,1981.0,marvel
492667,Michael Vornin (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1.0,Dec-43,1943.0,marvel
666141,Kid Twist (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,4.0,Jun-07,2007.0,marvel
225579,Kellogg (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,2.0,"2005, August",2005.0,dc
555580,Sro-Himm (Earth-616),,Bad Characters,,Bald,Male Characters,,Living Characters,4.0,Mar-75,1975.0,marvel
34096,Phoebe Huntsman (Earth-616),,,,Blond Hair,Female Characters,,Living Characters,3.0,Dec-90,1990.0,marvel
15686,Dionysus Acratophorus (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,26.0,Apr-49,1949.0,marvel
474730,Marshal Doering (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1.0,Jun-42,1942.0,marvel
1182,Black Fox (Thief) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,25.0,Aug-84,1984.0,marvel
485934,Edmund (Earth-616),Public Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,1.0,Feb-08,2008.0,marvel
164291,X'iv (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,,Aug-08,2008.0,marvel
1801,Radha Dastoor (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,8.0,Nov-93,1993.0,marvel
553823,Vulture (Outlaw) (Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,1.0,Apr-49,1949.0,marvel
510367,Lazarus (Domino brother) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,2.0,Jul-03,2003.0,marvel
303704,Galina Nemirovsky (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,7.0,Feb-10,2010.0,marvel
492056,Sinclair (Earth-616),Public Identity,,,Brown Hair,Female Characters,,Living Characters,,Dec-87,1987.0,marvel
19046,Gudra (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,18.0,"1946, October",1946.0,dc
156775,Norman the Doorman (New Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,1.0,"1992, September",1992.0,dc
488832,Benazu (Earth-616),Secret Identity,Good Characters,Green Eyes,,Male Characters,,Living Characters,1.0,Apr-82,1982.0,marvel
1450,Anthony Druid (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Deceased Characters,153.0,Jun-61,1961.0,marvel
18801,Priscilla Ironwood (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,5.0,Apr-79,1979.0,marvel
371813,Blowhard (New Earth),,Good Characters,,Brown Hair,Male Characters,,Living Characters,1.0,"1989, April",1989.0,dc
658425,Susan Storm (Counter-Earth) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1.0,Jun-73,1973.0,marvel
27040,W'Kandro (Earth-616),,,,,Male Characters,,Living Characters,,Feb-97,1997.0,marvel
4015,Wladyslav Shinski (Earth-616),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,28.0,Sep-67,1967.0,marvel
298152,Ernest Popchik (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,6.0,Oct-85,1985.0,marvel
692908,Mikaru (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3.0,,,marvel
18555,Zelda Kurtzberg (Earth-616),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,30.0,Sep-64,1964.0,marvel
548315,Matthew Harsh (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1.0,Jun-93,1993.0,marvel
437707,Azir (Earth-616),,,,,Female Characters,,Living Characters,5.0,Sep-75,1975.0,marvel
2135,Brigid O'Reilly (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,,Oct-83,1983.0,marvel
754674,Ernest Parker (Earth-616),No Dual Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,1.0,Jun-46,1946.0,marvel
711145,Robbie Reyes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,6.0,,,marvel
32469,Perro (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,8.0,Sep-06,2006.0,marvel
18752,Third Rail (Earth-616),,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,1.0,Jun-02,2002.0,marvel
471815,Maureen (Mutant) (Earth-616),Public Identity,,,Black Hair,Female Characters,,Living Characters,1.0,Mar-11,2011.0,marvel
181992,Seven of Spades I (New Earth),,Neutral Characters,,Black Hair,Male Characters,,Living Characters,3.0,"1990, July",1990.0,dc
179849,Elizabeth Kane (New Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,13.0,"2009, August",2009.0,dc
535095,Swami Krishna (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,1.0,Jul-48,1948.0,marvel
754887,Tom Clayton (Earth-616),No Dual Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1.0,Sep-47,1947.0,marvel
49733,Alcmena (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,3.0,Oct-82,1982.0,marvel
592496,Kingii (Earth-616),Secret Identity,Good Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,1.0,Jul-08,2008.0,marvel
1995,Albert Pratt (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,370.0,"1940, October",1940.0,dc
499691,Celestial Madonna (Earth-616),Secret Identity,Neutral Characters,Red Eyes,,Female Characters,,Deceased Characters,2.0,Jun-10,2010.0,marvel
424095,Hafnium (Element) (Earth-616),,Bad Characters,Red Eyes,No Hair,,,Living Characters,2.0,Sep-97,1997.0,marvel
483254,Vulture-Bait (Earth-616),Public Identity,,Black Eyes,Blue Hair,Male Characters,,Living Characters,1.0,Oct-97,1997.0,marvel
123230,Erica Fortune (Earth-616),,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,13.0,Jan-88,1988.0,marvel
530803,Blackbeard (1940s Pirate) (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1.0,Feb-48,1948.0,marvel
680987,Whalesong (Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,2.0,,,marvel
32379,Melina Vostokoff (Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Living Characters,16.0,Nov-83,1983.0,marvel
438700,Jed Sirrah (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1.0,Jan-40,1940.0,marvel
4208,Fern (Earth-616),Secret Identity,Good Characters,,,Female Characters,,Living Characters,14.0,Jul-85,1985.0,marvel
251481,Seesha (Earth-616),No Dual Identity,Good Characters,,,Female Characters,,Living Characters,5.0,Jul-75,1975.0,marvel
413942,Russell (Inferno Baby) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,11.0,Nov-88,1988.0,marvel
625357,Morrigon (Earth-616),Secret Identity,Bad Characters,,,,,Living Characters,2.0,May-13,2013.0,marvel
344881,Clio (New Earth),,Good Characters,,Brown Hair,Female Characters,,Living Characters,3.0,"1989, December",1989.0,dc
625809,John Ehrmann (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3.0,Aug-80,1980.0,marvel
552864,Tolan (Earth-616),No Dual Identity,Good Characters,,White Hair,Male Characters,,Living Characters,1.0,Apr-49,1949.0,marvel
280424,Cyclops (Tunnel Dwellers) (Earth-616),Secret Identity,Good Characters,One Eye,Bald,Male Characters,,Deceased Characters,1.0,Aug-01,2001.0,marvel
627968,William Hansen (Earth-616),No Dual Identity,,,Brown Hair,Male Characters,,Living Characters,3.0,Jul-90,1990.0,marvel
